time, IF0, IF1, VLSR, scanID, object, LO1, LO2
1706690165	1100	1100	0.0	12641	G343	13520.142187	13191.828942
1706740750	1100	1100	-10.0	12992	RCW120	13520.663518	13192.337524
1706741615	1100	1100	0.0	13006	G343	13520.156180	13191.842592
1706757114	1100	1100	0.0	13114	G344	13520.163685	13191.849914
1706776874	1100	1100	-10.0	13251	RCW120	13520.662004	13192.336047
1706777973	1100	1100	0.0	13265	G344	13520.164889	13191.851089
1706815440	1100	1100	-10.0	13470	RCW120	13520.668451	13192.342337
1706815829	1100	1100	0.0	13484	G344	13520.179594	13191.865434
1706829949	1100	1100	-10.0	13548	RCW120	13520.678661	13192.352297
1706831051	1100	1100	0.0	13562	G344	13520.179943	13191.865775
1706853286	1100	1100	0.0	13663	G345	13520.186338	13191.872012
1706861211	1100	1100	-10.0	13698	RCW120	13520.675536	13192.349249
1706863433	1100	1100	0.0	13716	G345	13520.186957	13191.872617
1706869779	1100	1100	-10.0	13743	RCW120	13520.677438	13192.351104
1706872349	1100	1100	0.0	13757	G345	13520.189388	13191.874988
1706911590	1100	1100	-10.0	13935	RCW120	13520.693462	13192.366736
1706912258	1100	1100	0.0	13949	G345	13520.203763	13191.889012
1706929791	1100	1100	-10.0	14024	RCW120	13520.691590	13192.364910
1706940171	1100	1100	-10.0	14089	RCW120	13520.702617	13192.375667
1706943530	1100	1100	0.0	14116	G345	13520.200048	13191.885387
1706957906	1100	1100	-10.0	14185	RCW120	13520.691695	13192.365012
1706958917	1100	1100	0.0	14199	G345	13520.202430	13191.887712
1706969427	1100	1100	0.0	14263	G350	13520.248528	13191.932682
1707055751	1100	1100	0.0	14761	G351	13520.269361	13191.953006
1707095787	1250	1250	250.0	14960	LMC	13505.583244	13177.939270
1707112648	1250	1250	-10.0	15137	RCW120	13519.329676	13191.349558
1707113735	1100	1100	0.0	15151	G351	13520.279402	13191.962801
1707171835	1100	1100	0.0	15439	G352	13520.302084	13191.984929
1707172796	1100	1100	250.0	15440	LMC	13506.978403	13178.987054
1707207916	1100	1100	-10.0	15848	RCW120	13520.731511	13192.403855
1707208533	1100	1100	0.0	15862	G352	13520.300518	13191.983401
1707260843	1100	1100	250.0	16173	LMC	13506.979887	13178.988501
1707288615	1100	1100	-10.0	16471	RCW120	13520.745484	13192.417486
1707289214	1100	1100	0.0	16485	G352	13520.315524	13191.998040
1707321670	1100	1100	0.0	16679	G353	13520.326048	13192.008307
1707350312	1100	1100	250.0	16847	LMC	13506.981307	13178.989887
1707351618	1300	1300	-24.0	16860	Target	13518.398670	13190.545739
1707351668	1300	1300	250.0	16861	LMC	13505.129438	13177.600981
1707377330	1100	1100	-10.0	17146	RCW120	13520.758457	13192.430142
1707377890	1100	1100	0.0	17160	G353	13520.336842	13192.018836
1707425425	1100	1100	0.0	17504	G354	13520.352730	13192.034336
1707439576	1300	1300	250.0	17607	LMC	13505.131078	13177.602581
1707465678	1300	1300	-10.0	17898	RCW120	13518.919027	13191.053371
1707467209	1100	1100	0.0	17912	G354	13520.357487	13192.038977
1707515934	1100	1100	0.0	18306	G355	13520.373257	13192.054361
1707521742	1100	1100	0.0	18314	G346	13520.298076	13191.981018
1707527789	1100	1100	0.0	18362	G347	13520.309804	13191.992460
1707530510	1300	1300	250.0	18365	LMC	13505.132574	13177.604041
1707555930	1100	1100	-10.0	18619	RCW120	13520.782741	13192.453832
1707557009	1100	1100	0.0	18633	G347	13520.309951	13191.992603
1707612323	1100	1100	0.0	19134	G347	13520.320248	13192.002648
1707619140	1100	1100	-10.0	19185	RCW120	13520.794262	13192.465071
1707619919	1300	1300	250.0	19198	LMC	13505.134009	13177.605440
1707644454	1300	1300	-10.0	19461	RCW120	13518.942185	13191.075963
1707644969	1300	1300	0.0	19475	G347	13518.469301	13190.614642
1707645713	1100	1100	0.0	19479	G347	13520.321104	13192.003483
1707654313	1100	1100	0.0	19547	G348	13520.331152	13192.013286
1707705404	1300	1300	250.0	19854	LMC	13505.135272	13177.606672
1707732865	1800	1800	-10.0	20168	RCW120	13514.323221	13187.614145
1707734193	1800	1800	0.0	20182	G356	13513.928260	13187.228843
1707734930	1800	1800	0.0	20186	G357	13513.934487	13187.234917
1707769410	1800	1800	0.0	20367	G357	13513.939736	13187.240037
1707793965	1300	1300	250.0	20502	LMC	13505.136495	13177.607866
1707823293	1800	1800	-10.0	20818	RCW120	13514.333264	13187.623943
1707823962	1800	1800	0.0	20832	G357	13513.946757	13187.246887
1707858706	1800	1800	0.0	21036	G358	13513.959210	13187.259035
1707880331	1300	1300	250.0	21164	LMC	13505.137661	13177.609003
1707908730	2000	2000	-10.0	21465	RCW120	13512.491204	13186.244606
1707909332	2000	2000	0.0	21479	G358	13512.113011	13185.875662
1707966086	2000	2000	250.0	21816	LMC	13498.657349	13172.749033
1707967079	1300	1300	250.0	21829	LMC	13505.138830	13177.610144
1707996744	2000	2000	-10.0	22146	RCW120	13512.500488	13186.253663
1707997593	2000	2000	0.0	22160	G358	13512.124562	13185.886930
1708002950	2000	2000	0.0	22192	G359	13512.130177	13185.892407
1708049585	1300	1300	250.0	22469	LMC	13505.139757	13177.611048
1708086884	2000	2000	-10.0	22947	RCW120	13512.508617	13186.261594
1708087755	2000	2000	0.0	22961	G359	13512.141044	13185.903008
1708125286	2000	2000	0.0	23189	G000	13512.157719	13185.919276
1708141854	1300	1300	250.0	23279	LMC	13505.140866	13177.612129
1708144451	1300	1300	250.0	23285	LMC	13505.141008	13177.612268
1708146550	1300	1300	250.0	23288	LMC	13505.141167	13177.612423
1708170154	2000	2000	-10.0	23636	RCW120	13512.517461	13186.270221
1708171164	2000	2000	0.0	23650	G000	13512.158160	13185.919706
1708191097	2000	2000	0.0	23770	G348	13512.057360	13185.821371
